,Date,Company ,Cost (in Million),Status,Pre-acquistion_revenue (in Million),Post-acquistion_revenue (in Million)
1,"June 4, 1997",Maxis,$125.5,open,-$1.7,$1.8
2,"July 28, 2004",Criterion Software,$48.0,"Active, still making games like Need for Speed.",$20.0,$5.3
3,"December 8, 2005",JAMDAT Mobile,$680.0,open,$74.0,$646.0
4,"July 20, 2006",Mythic Entertainment,$76.0,Closed in 2014.,$20.0,$40.0
5,"July 12, 2011",PopCap Games,$750.0,Still operational under EA Mobile.,$150.0,$500.0
